Bu,fission rate density (fiss/m3-s),"irradiation time, t (s)","restructured volume fraction, ? (/)",v,"re-solution rate, b (1/s)",NPNUM,Np
189,2E+19,279899550,0.999991804,9.38942E+11,0.0116,8.09443E+13,0
190,2E+19,281380500,0.999993349,7.72505E+11,0.0116,6.65961E+13,0
191,2E+19,282861450,0.999994617,6.33884E+11,0.0116,5.46459E+13,0
192,2E+19,284342400,0.999995654,5.1875E+11,0.0116,4.47204E+13,0
193,2E+19,285823350,0.999996501,4.23388E+11,0.0116,3.64994E+13,0
194,2E+19,287304300,0.99999719,3.44621E+11,0.0116,2.97091E+13,0
195,2E+19,288785250,0.99999775,2.79744E+11,0.0116,2.41162E+13,0
196,2E+19,290266200,0.999998203,2.26459E+11,0.0116,1.95226E+13,0
197,2E+19,291747150,0.999998569,1.82817E+11,0.0116,1.57603E+13,0
198,2E+19,293228100,0.999998863,1.47176E+11,0.0116,1.26878E+13,0
199,2E+19,294709050,0.999999099,1.18153E+11,0.0116,1.01857E+13,0
200,2E+19,296190000,0.999999288,94585667021,0.0116,8.15406E+12,0
201,2E+19,297670950,0.999999439,75505117214,0.0116,6.50916E+12,0
202,2E+19,299151900,0.99999956,60101935706,0.0116,5.18128E+12,0
203.0036969,2E+19,300638324.9,0.999999655,47684129397,0.0116,4.11076E+12,0.020408144
