oil ,water,air,epshori,Xo,Xw,Xa,epsarm,difference ,S,1-X/X,eps(homoge,epsminephom,armandnew,epsminarmand,,,,,,
0.6,0.66,1.24,0.43,0.24,0.264,0.496,0.42,0.0099999999999999,0.984126984126984,1.01612903225806,0.496,-0.066,0.413168,0.016832,,,,,,
0.6,0.66,2.1,0.53,0.178571428571429,0.196428571428571,0.625,0.3125,0.2175,1.66666666666667,0.6,0.625,-0.095,0.520625,0.00937500000000002,,,,,,
0.6,0.88,0.38,0.18,0.32258064516129,0.473118279569893,0.204301075268817,0.663082437275986,-0.483082437275986,0.256756756756757,3.89473684210526,0.204301075268817,-0.0243010752688172,0.170182795698925,0.00981720430107527,,,,,,
0.6,0.88,1.24,0.39,0.220588235294118,0.323529411764706,0.455882352941177,0.45343137254902,-0.0634313725490196,0.837837837837838,1.19354838709677,0.455882352941177,-0.0658823529411765,0.37975,0.01025,,,,,,
0.6,0.88,2.1,0.49,0.167597765363128,0.245810055865922,0.58659217877095,0.344506517690875,0.145493482309125,1.41891891891892,0.704761904761905,0.58659217877095,-0.0965921787709497,0.488631284916201,0.00136871508379888,,,,,,
0.6,1.05,0.38,0.17,0.295566502463054,0.517241379310345,0.187192118226601,0.677339901477833,-0.507339901477833,0.23030303030303,4.3421052631579,0.187192118226601,-0.017192118226601,0.155931034482759,0.0140689655172414,,,,,,
0.6,1.05,1.24,0.37,0.207612456747405,0.363321799307959,0.429065743944637,0.475778546712803,-0.105778546712803,0.751515151515152,1.33064516129032,0.429065743944637,-0.0590657439446367,0.357411764705882,0.0125882352941176,,,,,,
0.6,1.05,2.1,0.47,0.16,0.28,0.56,0.366666666666667,0.103333333333333,1.27272727272727,0.785714285714286,0.56,-0.0900000000000001,0.46648,0.00351999999999997,,,,,,
0.6,1.32,0.38,0.14,0.260869565217391,0.573913043478261,0.165217391304348,0.695652173913044,-0.555652173913043,0.197916666666667,5.05263157894737,0.165217391304348,-0.0252173913043479,0.137626086956522,0.00237391304347825,,,,,,
0.6,1.32,1.24,0.33,0.189873417721519,0.417721518987342,0.392405063291139,0.506329113924051,-0.176329113924051,0.645833333333333,1.54838709677419,0.392405063291139,-0.0624050632911392,0.326873417721519,0.00312658227848112,,,,,,
0.6,1.32,2.1,0.43,0.149253731343284,0.328358208955224,0.522388059701493,0.398009950248756,0.0319900497512438,1.09375,0.914285714285714,0.522388059701493,-0.0923880597014926,0.435149253731343,-0.00514925373134334,,,,,,
